Date,D2-B,D2-D,D6-D,D6-E,D6-I,D6-J,D6-S,D6-AB,D7-B,Label_D6-E,Label_D6-S,Label_D6-AB
"3月 01, 2013",0,0,1,1,0,0,1,0,1,1,0,1
"3月 08, 2013",0,1,1,1,0,0,0,1,1,0,1,0
"3月 15, 2013",1,0,0,0,0,0,1,0,0,1,0,0
"3月 22, 2013",1,0,1,1,0,0,0,0,1,1,0,0
"3月 29, 2013",1,0,1,1,0,0,0,0,0,0,1,0
"4月 05, 2013",1,1,0,0,1,0,1,0,0,0,0,1
"4月 12, 2013",0,0,0,0,0,1,0,1,0,1,0,1
"4月 19, 2013",0,0,1,1,0,0,0,1,1,1,0,1
"4月 26, 2013",1,0,1,1,0,0,0,1,1,1,1,1
"5月 03, 2013",1,0,1,1,0,0,1,1,0,0,1,1
"5月 10, 2013",1,0,0,0,1,1,1,1,0,0,1,0
"5月 17, 2013",0,0,0,0,1,1,1,0,0,1,1,1
"5月 24, 2013",0,0,1,1,0,0,1,1,1,0,0,1
"5月 31, 2013",1,0,0,0,0,1,0,1,0,1,1,0
"6月 07, 2013",0,0,1,1,1,1,1,0,1,1,1,0
"6月 14, 2013",1,0,1,1,1,0,1,0,0,1,1,1
"6月 21, 2013",1,0,1,1,1,1,1,1,0,0,0,0
"6月 28, 2013",1,0,0,0,0,0,0,0,0,0,0,1
"7月 05, 2013",1,0,0,0,0,1,0,1,0,0,1,1
"7月 12, 2013",1,1,0,0,1,1,1,1,0,0,0,0
"7月 19, 2013",0,0,0,0,0,1,0,0,0,1,0,0
"7月 26, 2013",0,0,1,1,1,1,0,0,1,0,0,1
"8月 02, 2013",0,1,0,0,1,1,0,1,0,0,1,1
"8月 09, 2013",0,0,0,0,0,0,1,1,0,0,0,1
"8月 16, 2013",1,0,0,0,0,0,0,1,0,1,0,0
"8月 23, 2013",0,0,1,1,0,1,0,0,1,0,1,1
"8月 30, 2013",1,0,0,0,0,0,1,1,0,0,1,1
"9月 06, 2013",0,0,0,0,1,1,1,1,0,0,0,0
"9月 13, 2013",1,0,0,0,0,0,0,0,0,1,1,0
"9月 20, 2013",0,0,1,1,1,0,1,0,1,1,1,0
"9月 27, 2013",0,0,1,1,1,1,1,0,1,1,0,0
"10月 04, 2013",0,0,1,1,1,1,0,0,1,1,0,0
"10月 11, 2013",0,0,1,1,0,0,0,0,1,1,0,1
"10月 18, 2013",1,0,1,1,0,0,0,1,1,1,0,0
"10月 25, 2013",1,0,1,1,0,1,0,0,1,1,1,0
"11月 01, 2013",1,0,1,1,0,0,1,0,0,1,0,0
"11月 08, 2013",1,0,1,1,0,1,0,0,0,1,0,0
"11月 15, 2013",1,0,1,1,0,1,0,0,0,1,1,0
"11月 22, 2013",1,0,1,1,1,1,1,0,0,0,1,1
"11月 29, 2013",1,0,0,0,1,0,1,1,0,0,1,1
"12月 06, 2013",1,1,0,0,1,1,1,1,0,0,1,0
"12月 13, 2013",0,0,0,0,1,0,1,0,0,0,0,0
"12月 20, 2013",1,0,0,0,0,1,0,0,0,0,1,1
"12月 27, 2013",1,0,0,0,1,0,1,1,0,0,1,1
"1月 03, 2014",0,0,0,0,1,1,1,1,0,0,1,0
"1月 10, 2014",0,0,0,0,1,0,1,0,0,1,1,0
"1月 17, 2014",0,0,1,1,1,0,1,0,1,1,0,0
"1月 24, 2014",1,0,1,1,0,1,0,0,1,1,1,0
"1月 31, 2014",0,0,1,1,1,0,1,0,1,1,0,0
"2月 07, 2014",1,0,1,1,0,0,0,0,1,1,0,0
"2月 14, 2014",0,0,1,1,1,1,0,0,1,1,1,1
"2月 21, 2014",1,0,1,1,0,0,1,1,0,1,0,1
"2月 28, 2014",0,0,1,1,0,1,0,1,0,1,0,0
"3月 07, 2014",0,0,1,1,0,0,0,0,1,1,0,0
"3月 14, 2014",0,0,1,1,0,1,0,0,1,1,0,1
"3月 21, 2014",1,0,1,1,0,0,0,1,1,0,0,1
"3月 28, 2014",1,0,0,0,0,0,0,1,0,1,0,1
"4月 04, 2014",1,1,1,1,0,0,0,1,1,1,1,0
"4月 11, 2014",1,0,1,1,0,0,1,0,1,1,0,1
"4月 18, 2014",1,0,1,1,0,0,0,1,0,1,1,1
"4月 25, 2014",0,0,1,1,1,0,1,1,0,0,1,0
"5月 02, 2014",0,0,0,0,1,0,1,0,0,1,0,0
"5月 09, 2014",0,0,0,1,0,1,0,0,0,0,1,1
"5月 16, 2014",1,0,0,0,1,1,1,1,0,1,0,0
"5月 23, 2014",0,0,1,1,0,0,0,0,1,0,0,1
"5月 30, 2014",1,0,0,0,1,1,0,1,0,0,1,1
"6月 06, 2014",0,1,0,0,1,0,1,1,0,0,0,1
"6月 13, 2014",0,0,0,0,1,1,0,1,1,1,1,1
"6月 20, 2014",1,0,1,1,1,0,1,1,1,0,0,1
"6月 27, 2014",1,0,0,0,0,0,0,1,0,0,0,1
"7月 04, 2014",1,0,0,0,1,1,0,1,0,0,1,1
"7月 11, 2014",1,0,0,0,1,0,1,1,0,0,1,1
"7月 18, 2014",0,0,0,0,1,1,1,1,0,0,1,1
"7月 25, 2014",0,0,0,0,1,0,1,1,0,0,0,0
"8月 01, 2014",0,0,0,0,0,0,0,0,0,1,0,0
"8月 08, 2014",0,0,1,1,0,1,0,0,1,0,1,0
"8月 15, 2014",1,0,0,0,1,0,1,0,0,0,0,1
"8月 22, 2014",1,0,0,0,0,1,0,1,0,0,0,1
"8月 29, 2014",0,0,0,0,0,0,0,1,0,0,1,1
"9月 05, 2014",0,0,0,0,1,0,1,1,0,1,0,1
"9月 12, 2014",0,1,1,1,0,1,0,1,1,0,0,1
"9月 19, 2014",0,0,0,0,0,1,0,1,0,0,0,0
"9月 26, 2014",0,0,0,0,0,1,0,0,1,1,1,1
"10月 03, 2014",0,0,1,1,1,0,1,1,1,1,0,0
"10月 10, 2014",0,0,1,1,0,0,0,0,1,1,0,1
"10月 17, 2014",0,0,1,1,0,1,0,1,1,1,0,0
"10月 24, 2014",0,0,1,1,0,0,0,0,1,1,0,0
"10月 31, 2014",1,0,1,1,0,1,0,0,0,0,1,0
"11月 07, 2014",1,0,0,0,1,0,1,0,0,1,1,0
"11月 14, 2014",1,0,1,1,1,1,1,0,0,1,1,0
"11月 21, 2014",1,0,1,1,1,1,1,0,0,0,1,1
"11月 28, 2014",1,0,0,0,1,0,1,1,0,1,1,1
"12月 05, 2014",1,0,1,1,1,1,1,1,0,0,1,0
"12月 12, 2014",0,0,0,0,1,0,1,0,0,1,1,1
"12月 19, 2014",1,0,1,1,1,1,1,1,1,0,1,1
"12月 26, 2014",1,0,0,0,1,1,1,1,0,0,1,1
"1月 02, 2015",1,0,0,0,1,0,1,1,0,1,1,1
"1月 09, 2015",0,1,1,1,1,0,1,1,1,1,1,0
"1月 16, 2015",0,0,1,1,1,1,1,0,1,1,0,0
"1月 23, 2015",1,0,1,1,0,0,0,0,1,1,1,1
"1月 30, 2015",1,0,1,1,1,1,1,1,1,1,1,0
"2月 06, 2015",1,0,1,1,1,0,1,0,1,1,1,0
"2月 13, 2015",0,0,1,1,1,0,1,0,1,1,0,0
"2月 20, 2015",0,0,1,1,0,1,0,0,1,1,0,0
"2月 27, 2015",0,0,1,1,1,1,0,0,1,1,0,1
"3月 06, 2015",1,1,1,1,0,0,0,1,1,1,0,1
"3月 13, 2015",1,0,1,1,0,0,0,1,1,1,0,0
"3月 20, 2015",1,0,1,1,0,0,0,0,1,1,0,1
"3月 27, 2015",1,0,1,1,0,0,0,1,1,1,1,0
"4月 03, 2015",1,1,1,1,1,1,1,0,1,1,0,1
"4月 10, 2015",1,0,1,1,0,0,0,1,0,1,0,1
"4月 17, 2015",0,0,1,1,0,1,0,1,1,1,1,0
"4月 24, 2015",1,0,1,1,1,1,1,0,0,0,1,1
"5月 01, 2015",1,0,0,0,1,0,1,1,0,0,0,0
"5月 08, 2015",0,0,0,0,0,0,0,0,0,0,0,0
"5月 15, 2015",1,0,0,0,0,0,0,0,0,0,0,1
"5月 22, 2015",1,0,0,0,0,1,0,1,0,0,0,1
"5月 29, 2015",0,0,0,0,0,1,0,1,0,0,0,1
"6月 05, 2015",1,1,0,0,0,1,0,1,0,0,1,1
"6月 12, 2015",0,0,0,0,1,1,1,1,0,0,1,1
"6月 19, 2015",1,0,0,0,1,0,1,1,0,1,0,1
"6月 26, 2015",0,0,1,1,0,0,0,1,1,1,1,1
"7月 03, 2015",1,0,1,1,1,1,1,1,0,0,1,1
"7月 10, 2015",1,1,0,0,1,0,1,1,0,1,0,1
"7月 17, 2015",1,0,1,1,0,1,0,1,0,0,0,1
"7月 24, 2015",0,0,0,0,0,1,0,1,0,0,1,1
"7月 31, 2015",1,0,0,0,1,0,1,1,0,0,0,1
"8月 07, 2015",0,0,0,0,0,0,0,1,0,1,0,1
"8月 14, 2015",0,0,1,1,0,1,0,1,1,0,1,1
"8月 21, 2015",0,0,0,0,1,1,1,1,0,1,0,1
"8月 28, 2015",0,0,1,1,0,0,0,1,1,1,0,1
"9月 04, 2015",0,1,1,1,1,1,0,1,1,0,1,1
"9月 11, 2015",1,0,0,0,1,0,1,1,0,0,1,0
"9月 18, 2015",0,0,0,0,1,0,1,0,1,1,1,0
"9月 25, 2015",0,0,1,1,1,1,1,0,1,1,1,0
"10月 02, 2015",0,0,1,1,1,0,1,0,1,1,0,0
"10月 09, 2015",0,1,1,1,0,1,0,0,1,1,0,0
"10月 16, 2015",1,0,1,1,0,1,0,0,1,1,0,0
"10月 23, 2015",1,0,1,1,0,0,0,0,1,1,0,0
"10月 30, 2015",1,0,1,1,0,0,0,0,1,1,0,1
"11月 06, 2015",1,1,1,1,0,0,0,1,0,1,1,0
"11月 13, 2015",1,0,1,1,1,1,1,0,0,1,1,1
"11月 20, 2015",1,0,1,1,1,1,1,1,0,1,1,1
"11月 27, 2015",1,0,1,1,1,0,1,1,0,0,1,1
"12月 04, 2015",0,1,0,0,1,0,1,1,0,1,1,1
"12月 11, 2015",0,0,1,1,1,1,1,1,1,0,1,0
"12月 18, 2015",0,0,0,0,1,0,1,0,0,1,0,1
"12月 25, 2015",1,0,1,1,1,1,0,1,1,0,1,1
"1月 01, 2016",0,0,0,0,1,1,1,1,0,1,1,1
"1月 08, 2016",0,0,1,1,1,0,1,1,1,1,1,0
