Date,D2-B,D2-D,D6-D,D6-E,D6-I,D6-J,D6-S,D6-AB,D7-B,Label_D6-E,Label_D6-S,Label_D6-AB
"8月 27, 2004",-41,0,-2924,-4232,809,437,372,1305,-0.2,0,0,1
"9月 03, 2004",102,0,-1043,-1530,-2479,-1529,-950,294,-0.2,0,0,1
"9月 10, 2004",-109,0,-6714,-7012,-1580,-304,-1276,1672,-0.4,0,0,0
"9月 17, 2004",-1262,13,-8556,-9112,-2839,-2007,-832,-1504,-0.3,1,1,0
"9月 24, 2004",-737,0,3986,3401,-808,-1312,504,-1330,0.8,1,0,0
"10月 01, 2004",849,0,589,881,583,1152,-569,-2127,0.4,1,1,0
"10月 08, 2004",-349,6,3253,4203,1187,486,701,-2437,0.7,1,0,0
"10月 15, 2004",280,0,947,1198,-733,-602,-131,-1903,0.1,1,0,0
"10月 22, 2004",100,0,4590,3944,1280,3057,-1777,-2444,0,1,0,0
"10月 29, 2004",75,0,6392,6272,514,559,-45,-861,0.4,1,0,0
"11月 05, 2004",443,17,2311,1703,-407,823,-1230,-137,-0.2,1,1,0
"11月 12, 2004",197,0,1740,815,-391,-907,516,-1001,-0.2,1,0,1
"11月 19, 2004",-68,0,84,85,1862,2891,-1029,1030,-0.1,1,1,1
"11月 26, 2004",75,0,849,849,3000,967,2033,2315,-0.2,1,1,1
"12月 03, 2004",140,0,2066,541,2355,1161,1194,1377,0,0,1,1
"12月 10, 2004",-52,0,336,-126,1520,1035,485,37,-0.1,1,1,1
"12月 17, 2004",-125,0,2496,2124,1765,930,835,584,0.2,0,0,0
"12月 24, 2004",147,0,-859,-859,870,1986,-1116,-791,-0.1,0,1,1
"12月 31, 2004",81,0,-2825,-3219,2076,886,1190,1970,-0.2,0,1,1
"1月 07, 2005",-186,0,-776,-2382,1006,188,818,1881,-0.2,1,1,1
"1月 14, 2005",-395,0,4255,3401,1636,-88,1724,784,0.3,1,0,0
"1月 21, 2005",-40,0,4587,3429,-2257,-802,-1455,-2279,0.4,0,1,0
"1月 28, 2005",39,0,685,-324,1630,492,1138,-2887,0.2,0,0,0
"2月 04, 2005",-176,4,-362,-1410,415,509,-94,-2991,0,1,1,0
"2月 11, 2005",266,0,2982,2142,4921,1999,2922,-3091,0.2,1,1,0
"2月 18, 2005",-336,0,1152,608,1832,559,1273,-756,0.1,1,1,0
"2月 25, 2005",-81,0,2849,2395,973,379,594,-1738,0.2,1,1,0
"3月 04, 2005",43,0,3477,2975,-201,-758,557,-810,0.3,1,1,0
